id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,22,32,,6,,,
2,19,29,12,,,,
3,20,12,14,,,,
4,33,26,,20,,,
5,35,11,,21,,,
6,16,,21,,,,
7,27,25,22,,,,
8,9,18,,22,,,
9,15,4,23,,,,
10,3,13,,23,,,
11,31,6,24,,,,
12,,14,,24,,,
13,30,7,25,,,,
14,,2,,25,,,
15,24,28,,26,,,
16,8,5,26,,,,
17,17,10,,27,,,
18,34,1,27,,,,
19,36,21,,28,,,
20,23,,28,,,,
21,,,29,,,,
22,,,,29,,,
23,,,30,,,,
24,,,,30,,,
25,,,,31,,,
26,,,31,,,,
27,,,,32,,,
28,,,32,,,,
29,,,33,,,,
30,,,,33,,,
31,,,,34,,,
32,,,34,,,,
33,,,36,,,,
34,,,,36,,,
35,,,,,,,
36,,,,,,,
